"Java持续交付 新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1106/15118.html","null","null"
"CSS速查手册（第五版） 新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1106/15119.html","null","null"
"《移动开发架构设计实战》 新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1101/15092.html","null","null"
"《疯狂XML讲义（第3版）》新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1101/15093.html","null","null"
"《数据安全架构设计与实战 》新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1029/15054.html","null","null"
"《微服务设计 企业架构转型之道》新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1024/14994.html","null","null"
"《Spring Cloud实战演练》新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1022/14979.html","null","null"
"《Docker虚拟化技术入门与实战》新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1018/14959.html","null","null"
"《Node学习指南 第2版》新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1017/14951.html","null","null"
"《Hadoop大数据实战权威指南（第2版）》新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1014/14913.html","null","null"
"《Angular开发实战》新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1014/14912.html","null","null"
"《Flink入门与实战》新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1014/14911.html","null","null"
"《SQL基础教程》 新书推荐","http://www.java1234.com/a/javabook/newBook/2019/1012/14891.html","null","null"
